"date","county","new_cases","new_deaths","cases_7day"
"2020-01-22","Alameda",0,0,
"2020-01-23","Alameda",0,0,
"2020-01-24","Alameda",0,0,
"2020-01-25","Alameda",0,0,
"2020-01-26","Alameda",0,0,
"2020-01-27","Alameda",0,0,
"2020-01-28","Alameda",0,0,0
"2020-01-29","Alameda",0,0,0
"2020-01-30","Alameda",0,0,0
"2020-01-31","Alameda",0,0,0
"2020-02-01","Alameda",0,0,0
"2020-02-02","Alameda",0,0,0
"2020-02-03","Alameda",0,0,0
"2020-02-04","Alameda",0,0,0
"2020-02-05","Alameda",0,0,0
"2020-02-06","Alameda",0,0,0
"2020-02-07","Alameda",0,0,0
"2020-02-08","Alameda",0,0,0
"2020-02-09","Alameda",0,0,0
"2020-02-10","Alameda",0,0,0
"2020-02-11","Alameda",0,0,0
"2020-02-12","Alameda",0,0,0
"2020-02-13","Alameda",0,0,0
"2020-02-14","Alameda",0,0,0
"2020-02-15","Alameda",0,0,0
"2020-02-16","Alameda",0,0,0
"2020-02-17","Alameda",0,0,0
"2020-02-18","Alameda",0,0,0
"2020-02-19","Alameda",0,0,0
"2020-02-20","Alameda",0,0,0
"2020-02-21","Alameda",0,0,0
"2020-02-22","Alameda",0,0,0
"2020-02-23","Alameda",0,0,0
"2020-02-24","Alameda",0,0,0
"2020-02-25","Alameda",0,0,0
"2020-02-26","Alameda",0,0,0
"2020-02-27","Alameda",0,0,0
"2020-02-28","Alameda",0,0,0
"2020-02-29","Alameda",0,0,0
"2020-03-01","Alameda",1,0,0.142857142857143
"2020-03-02","Alameda",0,0,0.142857142857143
"2020-03-03","Alameda",1,0,0.285714285714286
"2020-03-04","Alameda",0,0,0.285714285714286
"2020-03-05","Alameda",0,0,0.285714285714286
"2020-03-06","Alameda",1,0,0.428571428571429
"2020-03-07","Alameda",0,0,0.428571428571429
"2020-03-08","Alameda",1,0,0.428571428571429
"2020-03-09","Alameda",0,0,0.428571428571429
"2020-03-10","Alameda",0,0,0.285714285714286
"2020-03-11","Alameda",1,0,0.428571428571429
"2020-03-12","Alameda",4,0,1
"2020-03-13","Alameda",3,0,1.28571428571429
"2020-03-14","Alameda",0,0,1.28571428571429
"2020-03-15","Alameda",5,0,1.85714285714286
"2020-03-16","Alameda",0,0,1.85714285714286
"2020-03-17","Alameda",2,0,2.14285714285714
"2020-03-18","Alameda",10,0,3.42857142857143
"2020-03-19","Alameda",7,0,3.85714285714286
"2020-03-20","Alameda",6,0,4.28571428571429
"2020-03-21","Alameda",20,0,7.14285714285714
"2020-03-22","Alameda",10,1,7.85714285714285
"2020-03-23","Alameda",16,0,10.1428571428571
"2020-03-24","Alameda",8,1,11
"2020-03-25","Alameda",38,1,15
"2020-03-26","Alameda",38,1,19.4285714285714
"2020-03-27","Alameda",13,0,20.4285714285714
"2020-03-28","Alameda",225,8,49.7142857142857
"2020-03-29","Alameda",0,0,48.2857142857143
"2020-03-30","Alameda",0,0,46
"2020-03-31","Alameda",0,0,44.8571428571429
"2020-04-01","Alameda",0,0,39.4285714285714
"2020-04-02","Alameda",0,0,34
"2020-04-03","Alameda",0,0,32.1428571428571
"2020-04-04","Alameda",59,0,8.42857142857143
"2020-04-05","Alameda",7,0,9.42857142857143
"2020-04-06","Alameda",52,1,16.8571428571429
"2020-04-07","Alameda",33,1,21.5714285714286
"2020-04-08","Alameda",34,1,26.4285714285714
"2020-04-09","Alameda",47,2,33.1428571428571
"2020-04-10","Alameda",65,4,42.4285714285714
"2020-04-11","Alameda",45,2,40.4285714285714
"2020-04-12","Alameda",23,0,42.7142857142857
"2020-04-13","Alameda",47,0,42
"2020-04-14","Alameda",22,7,40.4285714285714
"2020-04-15","Alameda",72,8,45.8571428571429
"2020-04-16","Alameda",66,1,48.5714285714286
"2020-04-17","Alameda",62,1,48.1428571428571
"2020-04-18","Alameda",43,0,47.8571428571429
"2020-04-19","Alameda",49,1,51.5714285714286
"2020-04-20","Alameda",47,1,51.5714285714286
"2020-04-21","Alameda",53,4,56
"2020-04-22","Alameda",41,0,51.5714285714286
"2020-04-23","Alameda",61,0,50.8571428571429
"2020-04-24","Alameda",49,4,49
"2020-04-25","Alameda",11,2,44.4285714285714
"2020-04-26","Alameda",53,0,45
"2020-04-27","Alameda",45,1,44.7142857142857
"2020-04-28","Alameda",31,2,41.5714285714286
"2020-04-29","Alameda",39,5,41.2857142857143
"2020-04-30","Alameda",35,0,37.5714285714286
"2020-05-01","Alameda",31,3,35
"2020-05-02","Alameda",48,0,40.2857142857143
"2020-05-03","Alameda",53,1,40.2857142857143
"2020-05-04","Alameda",31,1,38.2857142857143
"2020-05-05","Alameda",58,2,42.1428571428571
"2020-05-06","Alameda",45,0,43
"2020-05-07","Alameda",50,1,45.1428571428571
"2020-05-08","Alameda",41,2,46.5714285714286
"2020-05-09","Alameda",56,1,47.7142857142857
"2020-05-10","Alameda",36,0,45.2857142857143
"2020-05-11","Alameda",56,0,48.8571428571429
"2020-05-12","Alameda",43,3,46.7142857142857
"2020-05-13","Alameda",35,4,45.2857142857143
"2020-05-14","Alameda",74,2,48.7142857142857
"2020-05-15","Alameda",34,3,47.7142857142857
"2020-05-16","Alameda",38,0,45.1428571428571
"2020-05-17","Alameda",62,0,48.8571428571429
"2020-05-18","Alameda",53,1,48.4285714285714
"2020-05-19","Alameda",51,4,49.5714285714286
"2020-05-20","Alameda",63,1,53.5714285714286
"2020-05-21","Alameda",52,0,50.4285714285714
"2020-05-22","Alameda",116,2,62.1428571428571
"2020-05-23","Alameda",61,0,65.4285714285714
"2020-05-24","Alameda",47,1,63.2857142857143
"2020-05-25","Alameda",70,0,65.7142857142857
"2020-05-26","Alameda",56,0,66.4285714285714
"2020-05-27","Alameda",81,2,69
"2020-05-28","Alameda",46,0,68.1428571428571
"2020-05-29","Alameda",126,2,69.5714285714286
"2020-05-30","Alameda",95,0,74.4285714285714
"2020-05-31","Alameda",58,2,76
"2020-06-01","Alameda",98,0,80
