"county","cases","deaths","wave","label","days"
"Alameda",58416,692,1,"Winter 2020-21",120
"Alpine",73,0,1,"Winter 2020-21",120
"Amador",3148,26,1,"Winter 2020-21",120
"Butte",9359,123,1,"Winter 2020-21",120
"Calaveras",1612,28,1,"Winter 2020-21",120
"Colusa",1578,5,1,"Winter 2020-21",120
"Contra Costa",44187,445,1,"Winter 2020-21",120
"Del Norte",811,3,1,"Winter 2020-21",120
"El Dorado",8284,94,1,"Winter 2020-21",120
"Fresno",71118,954,1,"Winter 2020-21",120
"Glenn",2039,12,1,"Winter 2020-21",120
"Humboldt",2639,22,1,"Winter 2020-21",120
"Imperial",16417,302,1,"Winter 2020-21",120
"Inyo",1045,21,1,"Winter 2020-21",120
"Kern",68917,427,1,"Winter 2020-21",120
"Kings",14263,134,1,"Winter 2020-21",120
"Lake",2446,24,1,"Winter 2020-21",120
"Lassen",4424,17,1,"Winter 2020-21",120
"Los Angeles",884305,14364,1,"Winter 2020-21",120
"Madera",11251,145,1,"Winter 2020-21",120
"Marin",6179,88,1,"Winter 2020-21",120
"Mariposa",314,5,1,"Winter 2020-21",120
"Mendocino",2559,20,1,"Winter 2020-21",120
"Merced",19832,233,1,"Winter 2020-21",120
"Modoc",407,3,1,"Winter 2020-21",120
"Mono",1008,2,1,"Winter 2020-21",120
"Monterey",31728,230,1,"Winter 2020-21",120
"Napa",7034,56,1,"Winter 2020-21",120
"Nevada",3470,57,1,"Winter 2020-21",120
"Orange",198023,2499,1,"Winter 2020-21",120
"Placer",16491,181,1,"Winter 2020-21",120
"Plumas",553,4,1,"Winter 2020-21",120
"Riverside",223777,2344,1,"Winter 2020-21",120
"Sacramento",68360,891,1,"Winter 2020-21",120
"San Benito",4412,43,1,"Winter 2020-21",120
"San Bernardino",225577,2438,1,"Winter 2020-21",120
"San Diego",214749,2393,1,"Winter 2020-21",120
"San Francisco",22861,272,1,"Winter 2020-21",120
"San Joaquin",46209,600,1,"Winter 2020-21",120
"San Luis Obispo",15653,205,1,"Winter 2020-21",120
"San Mateo",28200,154,1,"Winter 2020-21",120
"Santa Barbara",22852,283,1,"Winter 2020-21",120
"Santa Clara",86124,1325,1,"Winter 2020-21",120
"Santa Cruz",12410,160,1,"Winter 2020-21",120
"Shasta",10073,136,1,"Winter 2020-21",120
"Sierra",54,0,1,"Winter 2020-21",120
"Siskiyou",1428,5,1,"Winter 2020-21",120
"Solano",22531,82,1,"Winter 2020-21",120
"Sonoma",18727,141,1,"Winter 2020-21",120
"Stanislaus",36852,504,1,"Winter 2020-21",120
"Sutter",7027,87,1,"Winter 2020-21",120
"Tehama",4120,27,1,"Winter 2020-21",120
"Trinity",332,3,1,"Winter 2020-21",120
"Tulare",36973,481,1,"Winter 2020-21",120
"Tuolumne",3645,48,1,"Winter 2020-21",120
"Ventura",65508,620,1,"Winter 2020-21",120
"Yolo",9700,128,1,"Winter 2020-21",120
"Yuba",4283,31,1,"Winter 2020-21",120
"Alameda",31416,142,2,"Delta",153
"Alpine",16,0,2,"Delta",153
"Amador",1858,18,2,"Delta",153
"Butte",10311,78,2,"Delta",153
"Calaveras",1921,27,2,"Delta",153
"Colusa",855,4,2,"Delta",153
"Contra Costa",30429,211,2,"Delta",153
"Del Norte",2237,34,2,"Delta",153
"El Dorado",6523,41,2,"Delta",153
"Fresno",39667,425,2,"Delta",153
"Glenn",1488,15,2,"Delta",153
"Humboldt",5135,70,2,"Delta",153
"Imperial",5040,30,2,"Delta",153
"Inyo",931,5,2,"Delta",153
"Kern",38859,280,2,"Delta",153
"Kings",9664,90,2,"Delta",153
"Lake",3277,61,2,"Delta",153
"Lassen",1896,27,2,"Delta",153
"Los Angeles",249116,2277,2,"Delta",153
"Madera",7351,47,2,"Delta",153
"Marin",3551,18,2,"Delta",153
"Mariposa",946,10,2,"Delta",153
"Mendocino",3885,41,2,"Delta",153
"Merced",11359,130,2,"Delta",153
"Modoc",199,3,2,"Delta",153
"Mono",440,1,2,"Delta",153
"Monterey",5703,208,2,"Delta",153
"Napa",3030,19,2,"Delta",153
"Nevada",4388,2,2,"Delta",153
"Orange",54152,530,2,"Delta",153
"Placer",15792,141,2,"Delta",153
"Plumas",1048,4,2,"Delta",153
"Riverside",72387,645,2,"Delta",153
"Sacramento",54199,682,2,"Delta",153
"San Benito",1376,12,2,"Delta",153
"San Bernardino",60603,1019,2,"Delta",153
"San Diego",96247,457,2,"Delta",153
"San Francisco",16355,111,2,"Delta",153
"San Joaquin",27856,380,2,"Delta",153
"San Luis Obispo",8455,85,2,"Delta",153
"San Mateo",11281,224,2,"Delta",153
"Santa Barbara",10151,69,2,"Delta",153
"Santa Clara",26879,131,2,"Delta",153
"Santa Cruz",4265,13,2,"Delta",153
"Shasta",10654,175,2,"Delta",153
"Sierra",133,0,2,"Delta",153
"Siskiyou",2328,25,2,"Delta",153
"Solano",13030,89,2,"Delta",153
"Sonoma",11051,84,2,"Delta",153
"Stanislaus",24976,321,2,"Delta",153
"Sutter",4571,65,2,"Delta",153
"Tehama",4206,51,2,"Delta",153
"Trinity",514,8,2,"Delta",153
"Tulare",23746,149,2,"Delta",153
"Tuolumne",3100,24,2,"Delta",153
"Ventura",17746,151,2,"Delta",153
"Yolo",6309,37,2,"Delta",153
"Yuba",4180,33,2,"Delta",153
"Alameda",139975,240,3,"Omicron",90
"Alpine",18,0,3,"Omicron",90
"Amador",3158,17,3,"Omicron",90
"Butte",13858,54,3,"Omicron",90
"Calaveras",3139,22,3,"Omicron",90
