"county","w1_cases","w1_deaths","w2_cases","w2_deaths","w3_cases","w3_deaths","w4_cases","w4_deaths","w5_cases","w5_deaths"
"Alameda",58416,692,31416,142,139975,240,90688,174,30644,134
"Alpine",73,0,16,0,18,0,8,0,6,0
"Amador",3148,26,1858,18,3158,17,1617,3,566,5
"Butte",9359,123,10311,78,13858,54,7624,56,2957,30
"Calaveras",1612,28,1921,27,3139,22,1321,13,501,5
"Colusa",1578,5,855,4,1201,1,512,0,226,0
"Contra Costa",44187,445,30429,211,94531,184,62463,118,21535,94
"Del Norte",811,3,2237,34,2099,3,1705,6,542,3
"El Dorado",8284,94,6523,41,11224,25,6112,26,2269,12
"Fresno",71118,954,39667,425,93106,367,46591,109,20888,98
"Glenn",2039,12,1488,15,1913,4,707,2,376,9
"Humboldt",2639,22,5135,70,9383,19,6324,13,2055,8
"Imperial",16417,302,5040,30,26439,102,14107,40,6725,13
"Inyo",1045,21,931,5,1934,10,821,3,529,3
"Kern",68917,427,38859,280,79181,313,37440,242,17631,58
"Kings",14263,134,9664,90,19134,64,7691,11,3416,18
"Lake",2446,24,3277,61,4284,18,2152,6,858,7
"Lassen",4424,17,1896,27,2234,6,1020,0,330,2
"Los Angeles",884305,14364,249116,2277,1269428,3550,575207,1486,209509,1391
"Madera",11251,145,7351,47,16590,46,8040,15,2629,3
"Marin",6179,88,3551,18,16403,23,13755,18,3774,2
"Mariposa",314,5,946,10,1356,2,1047,4,319,2
"Mendocino",2559,20,3885,41,7131,26,4050,8,1062,0
"Merced",19832,233,11359,130,24821,112,11856,44,4596,33
"Modoc",407,3,199,3,198,1,188,3,115,0
"Mono",1008,2,440,1,1185,0,333,1,149,1
"Monterey",31728,230,5703,208,39274,67,21098,36,6185,28
"Napa",7034,56,3030,19,12812,26,6418,15,2069,4
"Nevada",3470,57,4388,2,7027,16,3277,9,1458,1
"Orange",198023,2499,54152,530,246774,884,129906,466,52000,400
"Placer",16491,181,15792,141,27050,107,13934,43,5359,20
"Plumas",553,4,1048,4,1116,5,845,1,142,1
"Riverside",223777,2344,72387,645,226071,821,102101,170,41442,178
"Sacramento",68360,891,54199,682,130905,489,71666,319,24410,201
"San Benito",4412,43,1376,12,5480,18,3389,6,1507,8
"San Bernardino",225577,2438,60603,1019,206617,610,100491,1155,39048,19
"San Diego",214749,2393,96247,457,379133,683,177376,290,61651,244
"San Francisco",22861,272,16355,111,74892,122,54325,160,16596,102
"San Joaquin",46209,600,27856,380,67074,226,32812,97,13043,81
"San Luis Obispo",15653,205,8455,85,23702,80,13035,41,3747,36
"San Mateo",28200,154,11281,224,69464,45,47818,76,13621,71
"Santa Barbara",22852,283,10151,69,42487,104,20338,40,6583,32
"Santa Clara",86124,1325,26879,131,166682,0,117805,208,41127,171
"Santa Cruz",12410,160,4265,13,26310,30,15726,14,4832,8
"Shasta",10073,136,10654,175,10192,112,4957,28,1971,7
"Sierra",54,0,133,0,103,4,42,0,4,0
"Siskiyou",1428,5,2328,25,2347,19,1264,9,247,1
"Solano",22531,82,13030,89,38251,73,23490,18,8586,15
"Sonoma",18727,141,11051,84,41361,64,24301,70,6272,0
"Stanislaus",36852,504,24976,321,44241,222,20508,118,7678,58
"Sutter",7027,87,4571,65,7679,28,3663,6,1375,5
"Tehama",4120,27,4206,51,4220,28,1783,10,1060,12
"Trinity",332,3,514,8,426,3,285,0,152,4
"Tulare",36973,481,23746,149,44781,204,23668,117,9577,26
"Tuolumne",3645,48,3100,24,5040,85,2972,16,1285,15
"Ventura",65508,620,17746,151,76963,235,38071,96,13198,88
"Yolo",9700,128,6309,37,17163,42,11727,21,2771,93
"Yuba",4283,31,4180,33,6018,24,3199,9,1135,1
